Input;Description;Density_Class;Kick;Snare;Hihat;Tom;Cymbals
35,36;Kick;0;0;3;5;4;4
35,36;Kick;1;0;2;4;3;3
35,36;Kick;2;0;1;4;2;3
37,38,39,40;Snare;0;4;0;5;3;4
37,38,39,40;Snare;1;2;0;4;2;3
37,38,39,40;Snare;2;0;0;4;1;2
42,44,46;Hats;0;2;2;0;4;5
42,44,46;Hats;1;2;2;0;3;3
42,44,46;Hats;2;1;2;0;2;1
41,43,45,47,48,50;Toms;0;5;4;2;0;2
41,43,45,47,48,50;Toms;1;3;3;2;0;2
41,43,45,47,48,50;Toms;2;1;2;2;0;2
49,51,52,53,55;Cymbels;0;2;2;0;4;0
49,51,52,53,55;Cymbels;1;2;2;1;3;0
49,51,52,53,55;Cymbels;2;1;2;1;2;0
